##Temp./>C,Time/min,Mass/%,Segment
 62.77800,  4.65000, 98.62857,1
 62.82500,  4.66000, 98.61905,1
 62.87600,  4.67000, 98.61905,1
 62.93100,  4.68000, 98.61905,1
 62.97300,  4.69000, 98.60952,1
 63.03300,  4.70000, 98.60952,1
 63.08600,  4.71000, 98.60952,1
 63.13600,  4.72000, 98.59048,1
 63.18500,  4.73000, 98.59048,1
 63.24000,  4.74000, 98.59048,1
 63.28100,  4.75000, 98.59048,1
 63.33900,  4.76000, 98.59048,1
 63.38400,  4.77000, 98.59048,1
 63.44200,  4.78000, 98.59048,1
 63.48400,  4.79000, 98.59048,1
 63.52300,  4.80000, 98.55238,1
 63.58400,  4.81000, 98.55238,1
 63.62600,  4.82000, 98.55238,1
 63.69100,  4.83000, 98.55238,1
 63.73100,  4.84000, 98.55238,1
 63.79000,  4.85000, 98.55238,1
 63.84000,  4.86000, 98.55238,1
 63.88800,  4.87000, 98.55238,1
 63.93000,  4.88000, 98.53333,1
 63.97900,  4.89000, 98.53333,1
 64.03900,  4.90000, 98.53333,1
 64.08100,  4.91000, 98.52381,1
 64.13700,  4.92000, 98.52381,1
 64.18400,  4.93000, 98.52381,1
 64.24000,  4.94000, 98.52381,1
 64.27500,  4.95000, 98.50476,1
 64.33800,  4.96000, 98.49524,1
 64.39500,  4.97000, 98.49524,1
 64.43800,  4.98000, 98.49524,1
 64.48000,  4.99000, 98.48571,1
 64.52900,  5.00000, 98.48571,1
 64.58800,  5.01000, 98.48571,1
 64.64000,  5.02000, 98.47619,1
 64.69800,  5.03000, 98.47619,1
 64.73600,  5.04000, 98.47619,1
 64.78400,  5.05000, 98.47619,1
 64.84800,  5.06000, 98.45714,1
 64.89800,  5.07000, 98.45714,1
 64.93600,  5.08000, 98.45714,1
 64.98600,  5.09000, 98.45714,1
 65.04200,  5.10000, 98.45714,1
 65.09300,  5.11000, 98.45714,1
 65.15300,  5.12000, 98.43810,1
 65.18900,  5.13000, 98.41905,1
 65.23900,  5.14000, 98.41905,1
 65.29700,  5.15000, 98.41905,1
 65.34900,  5.16000, 98.41905,1
 65.39800,  5.17000, 98.41905,1
 65.44300,  5.18000, 98.41905,1
 65.49500,  5.19000, 98.41905,1
 65.52900,  5.20000, 98.41905,1
 65.59900,  5.21000, 98.40000,1
 65.63900,  5.22000, 98.40000,1
 65.69300,  5.23000, 98.40000,1
 65.74300,  5.24000, 98.40000,1
 65.78600,  5.25000, 98.40000,1
 65.84900,  5.26000, 98.40000,1
 65.89300,  5.27000, 98.40000,1
 65.93800,  5.28000, 98.38095,1
 65.99400,  5.29000, 98.38095,1
 66.04000,  5.30000, 98.38095,1
 66.08700,  5.31000, 98.37143,1
 66.13500,  5.32000, 98.37143,1
 66.18700,  5.33000, 98.37143,1
 66.23400,  5.34000, 98.36190,1
 66.27900,  5.35000, 98.36190,1
 66.34000,  5.36000, 98.36190,1
 66.38500,  5.37000, 98.36190,1
 66.42200,  5.38000, 98.35238,1
 66.48800,  5.39000, 98.35238,1
 66.52400,  5.40000, 98.35238,1
 66.58100,  5.41000, 98.33333,1
 66.62800,  5.42000, 98.33333,1
 66.68200,  5.43000, 98.33333,1
 66.72800,  5.44000, 98.33333,1
 66.77900,  5.45000, 98.33333,1
 66.83600,  5.46000, 98.33333,1
 66.87900,  5.47000, 98.33333,1
 66.92900,  5.48000, 98.33333,1
 66.98900,  5.49000, 98.31429,1
 67.02900,  5.50000, 98.31429,1
 67.08300,  5.51000, 98.31429,1
 67.13400,  5.52000, 98.31429,1
 67.18300,  5.53000, 98.31429,1
 67.23100,  5.54000, 98.31429,1
 67.28500,  5.55000, 98.29524,1
 67.33500,  5.56000, 98.27619,1
 67.37100,  5.57000, 98.27619,1
 67.42800,  5.58000, 98.27619,1
 67.47900,  5.59000, 98.26667,1
 67.53800,  5.60000, 98.26667,1
 67.59100,  5.61000, 98.25714,1
 67.61700,  5.62000, 98.25714,1
 67.68200,  5.63000, 98.25714,1
 67.72400,  5.64000, 98.24762,1
 67.78700,  5.65000, 98.24762,1
 67.82700,  5.66000, 98.24762,1
 67.89700,  5.67000, 98.23810,1
 67.93800,  5.68000, 98.23810,1
 67.97900,  5.69000, 98.23810,1
 68.02900,  5.70000, 98.21905,1
 68.07200,  5.71000, 98.21905,1
 68.13400,  5.72000, 98.21905,1
 68.17500,  5.73000, 98.21905,1
 68.22200,  5.74000, 98.21905,1
 68.27900,  5.75000, 98.21905,1
 68.32200,  5.76000, 98.21905,1
 68.38400,  5.77000, 98.20000,1
 68.43400,  5.78000, 98.20000,1
 68.47600,  5.79000, 98.20000,1
 68.52700,  5.80000, 98.20000,1
 68.57400,  5.81000, 98.20000,1
 68.61700,  5.82000, 98.20000,1
 68.67600,  5.83000, 98.18095,1
 68.72800,  5.84000, 98.17143,1
 68.78600,  5.85000, 98.17143,1
 68.83100,  5.86000, 98.17143,1
 68.88100,  5.87000, 98.17143,1
 68.92900,  5.88000, 98.17143,1
 68.96700,  5.89000, 98.17143,1
 69.02300,  5.90000, 98.17143,1
 69.07400,  5.91000, 98.15238,1
 69.11600,  5.92000, 98.15238,1
 69.16800,  5.93000, 98.13333,1
 69.22700,  5.94000, 98.13333,1
 69.27100,  5.95000, 98.13333,1
 69.33100,  5.96000, 98.13333,1
 69.37000,  5.97000, 98.12381,1
 69.42700,  5.98000, 98.12381,1
 69.47900,  5.99000, 98.12381,1
 69.51300,  6.00000, 98.12381,1
 69.57200,  6.01000, 98.10476,1
 69.62700,  6.02000, 98.10476,1
 69.67300,  6.03000, 98.10476,1
 69.73300,  6.04000, 98.10476,1
 69.77600,  6.05000, 98.09524,1
 69.82100,  6.06000, 98.09524,1
 69.86100,  6.07000, 98.09524,1
 69.90700,  6.08000, 98.07619,1
 69.96800,  6.09000, 98.07619,1
 70.02600,  6.10000, 98.07619,1
 70.07600,  6.11000, 98.07619,1
 70.11700,  6.12000, 98.07619,1
 70.16700,  6.13000, 98.07619,1
 70.22700,  6.14000, 98.05714,1
 70.27200,  6.15000, 98.05714,1
 70.33900,  6.16000, 98.04762,1
 70.37500,  6.17000, 98.04762,1
 70.42100,  6.18000, 98.04762,1
 70.47100,  6.19000, 98.04762,1
 70.53000,  6.20000, 98.04762,1
 70.56600,  6.21000, 98.04762,1
 70.62200,  6.22000, 98.02857,1
 70.67000,  6.23000, 98.02857,1
 70.71800,  6.24000, 98.02857,1
 70.78400,  6.25000, 98.01905,1
 70.82900,  6.26000, 98.01905,1
 70.87100,  6.27000, 98.00952,1
 70.92700,  6.28000, 98.00952,1
 70.96900,  6.29000, 98.00952,1
 71.01500,  6.30000, 98.00952,1
 71.07500,  6.31000, 98.00952,1
 71.12100,  6.32000, 98.00000,1
 71.17200,  6.33000, 98.00000,1
 71.20900,  6.34000, 98.00000,1
 71.26000,  6.35000, 98.00000,1
 71.31300,  6.36000, 98.00000,1
 71.35900,  6.37000, 98.00000,1
 71.42100,  6.38000, 98.00000,1
 71.46800,  6.39000, 98.00000,1
 71.51900,  6.40000, 97.99048,1
 71.57000,  6.41000, 97.99048,1
 71.61900,  6.42000, 97.99048,1
 71.66800,  6.43000, 97.99048,1
 71.72000,  6.44000, 97.98095,1
 71.75000,  6.45000, 97.98095,1
 71.81000,  6.46000, 97.98095,1
 71.87000,  6.47000, 97.98095,1
 71.92100,  6.48000, 97.98095,1
 71.96000,  6.49000, 97.97143,1
 72.02600,  6.50000, 97.97143,1
 72.07200,  6.51000, 97.97143,1
 72.10000,  6.52000, 97.97143,1
 72.16100,  6.53000, 97.95238,1
 72.21900,  6.54000, 97.95238,1
 72.26700,  6.55000, 97.95238,1
 72.31600,  6.56000, 97.95238,1
 72.35200,  6.57000, 97.95238,1
 72.41300,  6.58000, 97.95238,1
 72.46800,  6.59000, 97.95238,1
 72.51900,  6.60000, 97.93333,1
 72.56600,  6.61000, 97.93333,1
 72.60600,  6.62000, 97.93333,1
 72.66000,  6.63000, 97.93333,1
 72.71600,  6.64000, 97.93333,1
 72.76100,  6.65000, 97.93333,1
 72.82000,  6.66000, 97.91429,1
 72.86800,  6.67000, 97.90476,1
 72.91700,  6.68000, 97.90476,1
